127.0.0.1, 2013-06-09 00:46:42, GET, /, HTTP/1.1, 303, 0.000949
127.0.0.1, 2013-06-09 00:46:43, GET, /welcome/default/index, HTTP/1.1, 200, 1.182909
127.0.0.1, 2013-06-09 00:46:43, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000625
127.0.0.1, 2013-06-09 00:46:43, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000615
127.0.0.1, 2013-06-09 00:46:44, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000539
127.0.0.1, 2013-06-09 00:46:44, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000885
127.0.0.1, 2013-06-09 00:46:44, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000606
127.0.0.1, 2013-06-09 00:46:44, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000613
127.0.0.1, 2013-06-09 00:46:44, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000546
127.0.0.1, 2013-06-09 00:46:44, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000647
127.0.0.1, 2013-06-09 00:46:44, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000612
127.0.0.1, 2013-06-09 00:46:44, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000566
127.0.0.1, 2013-06-09 00:46:44, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000672
127.0.0.1, 2013-06-09 00:46:44, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000560
127.0.0.1, 2013-06-09 00:46:44, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000660
127.0.0.1, 2013-06-09 00:46:44, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000640
127.0.0.1, 2013-06-09 00:46:44, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000484
127.0.0.1, 2013-06-09 00:46:44, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000559
127.0.0.1, 2013-06-09 00:47:29, GET, /admin, HTTP/1.1, 200, 0.158976
127.0.0.1, 2013-06-09 00:47:30, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.000678
127.0.0.1, 2013-06-09 00:47:30, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.000555
127.0.0.1, 2013-06-09 00:47:30, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.000572
127.0.0.1, 2013-06-09 00:47:30, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.000580
127.0.0.1, 2013-06-09 00:47:30, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000614
127.0.0.1, 2013-06-09 00:47:30, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000569
127.0.0.1, 2013-06-09 00:47:30, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000488
127.0.0.1, 2013-06-09 00:47:30, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000644
127.0.0.1, 2013-06-09 00:47:30, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000558
127.0.0.1, 2013-06-09 00:47:30, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001112
127.0.0.1, 2013-06-09 00:47:30, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000793
127.0.0.1, 2013-06-09 00:47:30, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000578
127.0.0.1, 2013-06-09 00:47:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000436
127.0.0.1, 2013-06-09 00:47:33, POST, /admin/default/index, HTTP/1.1, 303, 0.090320
127.0.0.1, 2013-06-09 00:47:33, GET, /admin/default/site, HTTP/1.1, 200, 0.065731
127.0.0.1, 2013-06-09 00:47:34, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.000611
127.0.0.1, 2013-06-09 00:47:34, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.000552
127.0.0.1, 2013-06-09 00:47:34, POST, /admin/default/check_version, HTTP/1.1, 200, 0.686718
127.0.0.1, 2013-06-09 00:47:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000431
127.0.0.1, 2013-06-09 00:47:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000396
127.0.0.1, 2013-06-09 00:47:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000406
127.0.0.1, 2013-06-09 00:47:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000353
127.0.0.1, 2013-06-09 00:48:23, POST, /admin/default/site, HTTP/1.1, 303, 0.086843
127.0.0.1, 2013-06-09 00:48:24, GET, /admin/default/design/test, HTTP/1.1, 200, 0.224114
127.0.0.1, 2013-06-09 00:48:24, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.000586
127.0.0.1, 2013-06-09 00:48:24, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000629
127.0.0.1, 2013-06-09 00:48:24, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000580
127.0.0.1, 2013-06-09 00:48:24, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000632
127.0.0.1, 2013-06-09 00:48:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000416
127.0.0.1, 2013-06-09 00:57:32, GET, /admin/default/peek/test/controllers/default.py, HTTP/1.1, 200, 0.057278
127.0.0.1, 2013-06-09 00:57:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000378
127.0.0.1, 2013-06-09 00:57:42, GET, /admin/default/edit/test/controllers/default.py, HTTP/1.1, 200, 0.076072
127.0.0.1, 2013-06-09 00:57:43, GET, /admin/static/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000588
127.0.0.1, 2013-06-09 00:57:43, GET, /admin/static/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000592
127.0.0.1, 2013-06-09 00:57:43, GET, /admin/static/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000596
127.0.0.1, 2013-06-09 00:57:43, GET, /admin/static/codemirror/mode/clike/clike.js, HTTP/1.1, 200, 0.000541
127.0.0.1, 2013-06-09 00:57:43, GET, /admin/static/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000559
127.0.0.1, 2013-06-09 00:57:43, GET, /admin/static/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000580
127.0.0.1, 2013-06-09 00:57:43, GET, /admin/static/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000619
127.0.0.1, 2013-06-09 00:57:43, GET, /admin/static/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000613
127.0.0.1, 2013-06-09 00:57:43, GET, /admin/static/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000671
127.0.0.1, 2013-06-09 00:57:43, GET, /admin/static/codemirror/lib/util/search.js, HTTP/1.1, 200, 0.000698
127.0.0.1, 2013-06-09 00:57:43, GET, /admin/static/codemirror/lib/util/searchcursor.js, HTTP/1.1, 200, 0.000667
127.0.0.1, 2013-06-09 00:57:43, GET, /admin/static/codemirror/lib/util/dialog.js, HTTP/1.1, 200, 0.000683
127.0.0.1, 2013-06-09 00:57:43, GET, /admin/static/codemirror/lib/util/dialog.css, HTTP/1.1, 200, 0.000706
127.0.0.1, 2013-06-09 00:57:43, GET, /admin/static/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000719
127.0.0.1, 2013-06-09 00:57:43, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.000568
127.0.0.1, 2013-06-09 00:57:43, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000578
127.0.0.1, 2013-06-09 00:57:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000415
127.0.0.1, 2013-06-09 00:57:43, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.165938
127.0.0.1, 2013-06-09 01:00:04, POST, /admin/default/edit/test/controllers/default.py, HTTP/1.1, 200, 0.076943
127.0.0.1, 2013-06-09 01:00:05, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.014003
127.0.0.1, 2013-06-09 01:00:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000441
127.0.0.1, 2013-06-09 01:00:29, GET, /admin/default/index, HTTP/1.1, 303, 0.008582
127.0.0.1, 2013-06-09 01:00:29, GET, /admin/default/site, HTTP/1.1, 200, 0.066887
127.0.0.1, 2013-06-09 01:00:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000394
127.0.0.1, 2013-06-09 01:00:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000399
127.0.0.1, 2013-06-09 01:00:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000428
127.0.0.1, 2013-06-09 01:00:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000420
127.0.0.1, 2013-06-09 01:00:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000400
127.0.0.1, 2013-06-09 01:00:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000428
127.0.0.1, 2013-06-09 01:00:48, GET, /admin/default/uninstall/test, HTTP/1.1, 200, 0.052550
